,centroid,clusters
483,creation process,"bifurcation points, catastrophic process, creation cosmic, creation process, creation processes, decreasing processes, learning process, observation process, propagation processes, radiation process, radiation produced, readily assess, reflection process, violating process"
484,dependent energy,"decreasing energy, dependent energy, dependent generalized, dependent merely, dependent metric, dependent property, dependent sign, independent energy"
485,directed toward,"attracted toward, decreases toward, directed Newtonian, directed downward, directed opposite, directed toward, direction toward, effective toward, objective toward, oriented toward, repelled outward"
486,distinctions,"distant stars, distinct action, distinct forward, distinct local, distinct motions, distinct ordinary, distinct physical, distinction, distinction exists, distinction simply, distinctions, distinctions exist, distinctive, distinctively, distinctiveness, distribution, distributions, investigations, justifications, misconceptions, restrictions, six sections"
487,distribution gravitational,"definition gravitational, distribution gravitational, distributiongravitational, distributionsinertial gravitational"
488,electromagnetic field,"electromagnetic field, electromagnetic fieldblack, electromagnetic fields, electromagnetic phenomena, electromagnetic theory, electrostatic field"
489,elevator experiment,"antimatter experiment, elevator experiment, elevators suspended, ultimate embodiment, well-known experiment"
490,expressed,"addressed, compresses, excessive, express, expressed, expressed doubts, expresses, expressing, expression, formally expressed, possessed, stressed, suppression"
491,function,"bifurcation, fiction, friction, function, functions"
492,fundamental bidirectional,"consistent bidirectional, fundamental bidirectional, fundamental directional, fundamental interactions, fundamental theoretical, fundamental time-direction"
493,hole informationquantum,"hole informationquantum, informationquantum"
494,illustrates,"final stages, illustrate, illustrated, illustrates, illustrative, simply illustrates"
495,information associated,"configuration associated, information associated, interaction associated, propagation Associated"
496,information required,"information encoded, information needed, information persists, information require, information required"
497,informationdiscrete,"PTC transformationdiscrete, backward motiondiscrete, formulationdiscrete, hole informationdiscrete, informationdiscrete, interactiondiscrete, interpretationdiscrete, joint variationdiscrete, transformationdiscrete, weak interactiondiscrete"
498,interference,"gain confidence, immaterial reference, indifference, interfere, interference, interferences, unique reference"
499,involving opposite,"annihilating opposite, carrying opposite, colliding opposite, involve opposite, involving opposite, involving spin, involving voids, observing oppositely, provide opposite"
500,length,"beneath, depth, length, lengths, strength, tenth, twentieth, wavelength, wavelengths"
501,located inside,"ejected outside, located beneath, located beyond, located inside, located mainly, located outside, motivated insight, related issue, trapped inside"
502,magnetic fields,"Magnetic fields, magnetic field, magnetic fieldblack, magnetic fieldconstraint, magnetic fielddiscrete, magnetic fieldnegative, magnetic fields"
503,mathematical developments,"Mathematical developments, mathematical developments, meaningful developments, original developments, theoretical developments"
504,obeyed,"obeyed, obeys, observed, opened"
505,observational viewpoint,"observation viewpoint, observational argument, observational viewpoint, observationally significant"
506,operations classical,"abandoning classical, generalized classical, operations classical, operations semi-classical, operations traditional, regarding classical"
507,opposite charge,"opposite change, opposite charge, opposite charges, opposite polarities, opposite space, opposite value, opposite-charge, oppositely charged, oppositely configured, oppositeness compared, proposed charge"
508,ordinary particles,"ordinary antimatter, ordinary antiparticle, ordinary antiparticles, ordinary pairs, ordinary particle-antiparticle, ordinary particles, ordinary physical, ordinary surface, ordinary surfaces, original particle, radiate particles"
509,pair annihilationtime,"annihilationtime, pair annihilation, pair annihilationmatter, pair annihilationnegative, pair annihilationtime, pair annihilationvacuum"
510,parameters twice,"parameter leaves, parameter twice, parameters twice, parameters whenever, parametersblack"
511,particles effectively,"experiences effectively, particle effectively, particles effectively, particles' electrical, possibilities effectively, processes effectively, world-lines effectively"
512,particles reaching,"particle reaches, particle reaching, particles approaching, particles except, particles experiencing, particles interacting, particles mediating, particles reaching, particles remains, particles travelling"
513,particles submitted,"object submitted, objects submitted, particle submitted, particles submitted, processes submitted"
514,permanent,"Nickner Permanent, Permanent, clear meaning, eminent, permanencematter, permanencetime, permanent, permanently"
515,previously explained,"previously appeared, previously emphasized, previously explained, thoroughly explored"
516,propagating particle,"propagating antiparticle, propagating charges, propagating opposite, propagating particle, propagating particles, propagating positive"
517,relate,"C-related, adequate, mediate, predates, relabel, relate, related, relates, release, relegate, remote, remotely, replace, replaces, replicate, rewrite, unrelated"
518,relationally defined,"asymptotically defined, classically well-defined, relationally defined, relationally distinct, relatively defined, traditionally defined"
519,remarks,"Feynman's, quarks, records, regards, remains, remark, remarkable, remarked, remarks"
520,representation,"global representation, representation, representationtime, representative, valid representation"
521,repulsionnegative,"formulationnegative, repulsion antigravity, repulsion originating, repulsionnegative, repulsionnegative mass, repulsionparticle, repulsionvacuum, repulsionwormhole, repulsive negative"
522,reversing operation,"decreasing evolution, preserving operations, preserving variations, remaining operation, reversal operation, reversal operations, reversing operation, reversing operations"
