,centroid,clusters
668,Boundaries,"Boundaries, Boundedness, Braun-Kaup-Upmeier, Soukharev, boundaries, foundpi-mass, sound hopeless"
669,Combining Theorems,"Combining Theorem, Combining Theorems, combine Theorems"
670,Deligne--Mumford stacks,"Deligne--Mumford moduli, Deligne--Mumford seeDeligne--, Deligne--Mumford stable, Deligne--Mumford stack, Deligne--Mumford stacks, Deligne--Mumford stacksderived, Deligne--Mumford stacksorbifold, Deligne--Mumford stacksstack, theoryDeligne--Mumford stack"
671,Kapranov,"Gavrilov, Kaplansky, Kaplansky's, Kapranov, Kapranov CiKa, Kauru Ono, Khar'kov, Kudryashov, Makhankov, Mikhailov, Zakharov"
672,Lecture Notes,"Lecture Notes, Lecture notes, lecture notes"
673,actually,"Partially, Schiavilla, Usually, acts freely, actual, actually, actually sends, dually, extremally, mutually, practically, virtually"
674,algebra,algebra
675,axioms,"Axiom, Axiom III, Axiomatic, Axioms, atoms, axiom, axioms"
676,boundaryboundary,"boundaryboundary, corners boundaryboundary"
677,bundle,bundle
678,bundlevirtual vector,"bundlesvirtual vector, bundlevirtual vector, manifoldvirtual vector"
679,c-transverse implies,"c-transversality implies, c-transverse implies, cd-transverse implies"
680,class construction,"chain construction, class construction, class constructions, global construction, involved construction, modules constructed"
681,compact d-manifold,"compact d-manifold, compact d-manifolds, compact d-orbifold, compact manifold, complex manifold, consider d-manifolds, geometry d-manifold, symplectic manifold"
682,compared,"compare, compared, weak compared"
683,compatibility,"comparability, compatibility, compatible, compatibly, countability, satisfy compatibility, susceptibility"
684,complicated conditions,"compatibility conditions, completeness conditions, complex-valued functions, complicated conditions, complicated definitions, cross-derivative condition, implemented computational, isomonodromy condition"
685,coordinate changes,"coordinate change, coordinate changes"
686,corners etale,"Lurie's student, Tournesol grant, corners behave, corners dManb, corners essentially, corners etale, corners generally, corners local, corners modelled, corners semisimple, corners virtual, corners weakly, errors smaller"
687,corners transverse,"Fourier transform, Scott-Solovay universe, corners b-transverse, corners bd-transverse, corners c-transverse, corners cd-transverse, corners transverse, momentum transferred, takes transverse"
688,corresponds,"Y/H corresponds, core surrounded, correspond, corresponds, curves depends"
689,cotangent bundled-orbifold,"corners boundaryd-orbifold, cotangent bundled-manifold, cotangent bundled-orbifold"
690,d-manifold embedding,"canonical embedding, d-manifold embedding, d-manifold w-embedding, d-orbifold embedding, d-orbifold w-embedding, immersiond-manifold embedding, manifold embedding"
691,d-manifold fibre,"d-manifold fibre, d-manifold structures, d-manifolds admit, d-orbifold fibre, haved-manifold fibre, manifold variable, withd-manifold fibre"
692,d-stack gluing,"d-space gluing, d-stack gluing, d-stack versions, discuss gluing"
693,d-stacksd-stack,"d-space d-stack, d-spacesd-stack, d-stack d-stack, d-stackd-stack, d-stacksd-stack, d-stacksd-stack fibre, d-substackd-stack, substackC-stack"
694,ddd,"CCd, Eda, Tfd, added, azzddA, d-e, dXb, dXd, dbo, ddd, ddl, ddr, deg, dfXd, dim, dll, due, edu, ndN, odd"
695,define orbifolds,"define d-orbifolds, define orbifold, define orbifolds, define unambiguously, defined orbifolds, defines d-orbifolds, defines obviously, denote orbifolds, derived manifolds, derived orbifolds, describe orbifold, dimensional orbifolds, regard orbifolds"
696,defined explicitly,"build explicitly, built explicitly, defined everywhere, defined exactly, defined explicitly, describe explicitly, restate explicitly, written explicitly"
697,elliptic,"elliptic, elliptic BGPP, hyperelliptic, realistic"
698,enumerative invariants,"differential invariants, enumerative invariant, enumerative invariants, homographic invariants"
699,equivariant,"G-equivariant, acts equivariantly, equivariance, equivariant, equivariant smooth, equivariantly, i-equivariant"
700,exist provided,"exist oriented, exist provided, existing proofs, factor provided, list detailed, method provides, results provide, test provide"
701,expressed,"Express, express, expressed, expressed solely, expresses, increased, theory expressed, unexplored area"
702,faithful functor,"faithful functor, faithful functorfunctor, faithful strict, faithfulfunctor, faithfulfunctor fullfunctor, fully faithfulfunctor, functor fullfunctor, natural functor"
703,finite limits,"Dixbook Dixmier, direct limits, finite finite, finite infima, finite lattices, finite limits, finite list, finite parts, finite results, indexed limits, routine limiting, weighted limits"
704,generalized homology,"generalized cardinal, generalized homology, generalizes easily"
705,geometric objects,"Geometric Analysis, Geometric Stacks, geometric argument, geometric object, geometric objects, geometric spaces, geometrical objects, isomorphic objects, projective objects"
706,geometry symplectic,"Weierstrass elliptic, compact symplectic, compare symplectic, geometry symplectic, geometrysymplectic, geometrysynthetic"
707,ideal generated,"Steve Piepersteve, Steve WeinbergQCD, earlier generate, freely generated, ideal generated"
708,instead,"BKW instead, Instead, Mil'shtein, Weinstein, inMaeda, inspired, instead, numbers instead, widespread"
709,interesting,"articles treating, hence reducing, integrating, interesting, interesting topic"
710,involve,"inBoyle, involve, involved, involves, involving, methods involve"
711,level,"Negele, kHz level, label, level, levelGDH-nuc, levels, seven"
712,lifting,"fitting, lifting, limiting, living, trim lifting"
713,literature,"literature, older literature"
714,local equivalence,"Usually equivalence, local equivalence, local equivalences, locally equivalent, natural equivalences, non-canonical equivalence, normal equivalencesnormal, smallest equivalence, study equivalences"
715,manifolds Spivak's,"manifold seeSpivak's, manifolds Spiv, manifolds Spivak's, manifoldsSpivak's, manifoldsSpivak's derived"
716,nontrivially,"acts nontrivially, non-trivial, nontrivial, nontrivial Radon, nontrivial cohomology, nontrivial finite, nontrivial purely, nontrivially, note finally, trivially"
717,perturbation,"permutation, perturbation, perturbations, perturbative, perturbed Laurent, perturbed solution, perturbing"
718,productsorbifold,"productd-orbifold, productorbifold, productsd-orbifold, productsorbifold, property orbifold"
719,proof,proof
720,s-immersed,"Bohr-Sommerfeld, Kammeraad, immersed, s-immersed, sf-immersed, sfw-immersed, sw-immersed, w-immersed"
721,satisfying extra,"inserting extra, satisfying Axioms, satisfying extra, satisfying local, satisfying various"
722,semisimple map,"semisimple map, semisimple maps, semisimpled-stack"
723,sf-embedded submanifold,"embedded submanifold, embedded submanifolds, sf-embedded d-submanifold, sf-embedded submanifold, sf-embedded submanifolds, sf-embedded suborbifold"
724,space functor,"exact functor, functorfunctor, space forced, space functor, space functor', space written, special functions, spectrum functor"
725,spacesmoduli space,"curvesmoduli space, equationsmoduli space, mapsmoduli space, spaceC-ringed space, spaceStone space, spacemoduli space, spacesmoduli space"
726,square diagram,"commuting diagram, empty diagram, square diagram"
727,square square,"ideals square, square square"
728,stacksstack,"derived stacksstack, stacks stack, stacksstack"
729,summarize,"Summa Brasil, Summarizing, summanddirect, summarize, summarize material, summarized, summarizes, summaryDominic Joyce"
730,transverse smooth,"transverse maps, transverse smooth"
731,truncation functor,"contravariant functor, identity functor, inclusion functor, sections functor, truncation functor, truncation functors, truncation functorstruncation, truncation functortruncation, truncation method, truncation methodsingular, truncation procedure"
732,unique isomorphism,"exist isomorphisms, module isomorphism, pairwise isomorphic, range isomorphic, submodule isomorphism, unique homomorphism, unique isomorphism, unique morphism"
733,universally closed,"D-universal classes, universally closed, universally closedC-scheme"
734,weaker,"Dekker, Goeckner, Weaker, meager, weaker, weakest"
735,write,write
736,Banach manifolds,"Banach manifold, Banach manifolds, Banach orbifolds, Riemannian manifolds, Vanhaecke VanhaeckeLNM, denote manifolds, ordinary manifolds, sectionsBanach manifold"
737,Berlin,"Belinskii, Benjamin, Berezin, Berlin, DerMan, Frem Fremlin, Fremlin, Verlag, tu-berlin"
738,Chen,"ALR ChRu, CCPRP, Caen, ChRu, Chazy, Chem, Chen, Chern, Cheung, Cohen, Conn, Coon, FuOn, Halphen, Thur, Toen, iiCohen, theW"
739,Donaldson--Thomas,"Donaldson type, Donaldson--Thomas, Donaldson--Thomas invariants"
740,Floer homology,"Floer cohomology, Floer homology, contact homology, gives homology, motivic homotopy, singular homology"
741,Fredholm sections,"Fredholm functors, Fredholm index, Fredholm section, Fredholm sections, Fredholm sectionsBanach, Fredholm sectionsd-orbifold, previous sections, theoremTheorem section"
742,Gromov--Witten invariantsGromov--Witten,Gromov--Witten invariantsGromov--Witten
743,Grothendieck topologyGrothendieck,Grothendieck topologyGrothendieck
744,Hadamard's,"Hadamard's, Hadamard's Lemma, Halm Halmos, Hamana's, Lemma Hadamard's, Maharam's, Using Hadamard's"
745,Kuranishi cohomology,"Kuranishi cohomology, Kuranishi homology"
746,Riemann surface,"Riemann surface, Riemann surfaces"
747,TheorySymplectic,"California Symplectic, Field TheorySymplectic, Theory Symplectic, TheorySymplectic, TheorySymplectic Field, cohomology Symplectic, theory reflects"
748,acts effectively,"acting effectively, acts effectively, acts injectively, acts transitively, include effectiveness, works effectively"
749,admits,"PDE admits, admit, admits, scale admits"
750,algebraic,algebraic
751,algebraic,algebraic
752,algebraic spaces,"Algebra Universalis, Algebraic Approach, algebra-oriented reader, algebraic equations, algebraic routes, algebraic space, algebraic spaces, algebraic steps, algebraic surface, algebraic surfaces"
753,allow,"Halmos, Taylor, allow, allowed, allowing, allows, arrow"
754,arbitrary,"arbitrarily, arbitrary, chosen arbitrarily, preserve arbitrary"
755,associativity,"associative binary, associativity, distributivity, various associativity"
756,automatically semisimple,"automatically d-orbifold, automatically representable, automatically semisimple, automatically straight"
757,available,"Available, MatveevSalle, achievable, applicable, available, available data, available options, easily usable, routinely available, unavoidable, version available"
758,basic definitions,"basic definitions, classical definition, main definitions, practical definition"
759,bordism class,"bordism class, bordism classes, bordism classical, d-bordism class, d-bordism classes, studied class"
760,boundary orbifold,"boundaries d-orbifold, boundaries manifold, boundariesorbifold, boundary d-orbifold, boundary formula, boundary orbifold, boundary seemanifold, boundary seeorbifold, boundary strictly, boundaryd-manifold, boundaryd-orbifold, boundarymanifold, boundaryorbifold, bundle orbifold, bundled-orbifold"
761,bundle orientation,"Hence orientations, boundary orientation, bundle oforientation, bundle orientation, bundle representation, bundleorientation, bundles orientation, bundlesorientation, opposite orientation"
762,category colimit,"Theory contact, categories contact, category colimit, category containing, category groupoid, category limit, category split"
763,chainvirtual,"Defining virtual, admit virtual, chain'virtual, chains virtual, chainvirtual, define virtual, map virtual, rank virtual, spacevirtual, theoryvirtual"
764,clear,"Malabar, McKellar, Nuclear, clear, clearly, fmNuclear, nuclear"
765,completes,completes
766,complexcotangent,"Complexe cotangent, complex'cotangent, complexcotangent, cotangent complexcotangent"
767,complexcotangent complex,"complex'cotangent complex, complexcotangent complex"
